ProductID,Category,Brand,CostPrice,SellingPrice,Weight,SupplierID
P288587,Books,Nike,84.66,109.5,20.73,S9305
P118785,Sports,Adidas,91.28,123.04,25.84,S11936
P357820,Home & Garden,Unknown,421.33,738.89,3.56,S10675
P382371,Electronics,IKEA,268.79,424.14,4.85,S7945
P662720,Toys,IKEA,162.43,217.1,13.22,S11756
P926659,Books,IKEA,186.23,266.16,0.37,S11713
P664922,Clothing,Nike,233.54,318.1,7.93,S3079
P402002,Books,Nike,206.78,279.97,26.24,S14414
P97531,Electronics,Samsung,19.03,26.05,34.24,S11169
P895862,Toys,AmazonBasics,399.9,758.19,40.85,S9332
P895040,Books,Samsung,272.21,476.5,36.58,S2385
P843151,Books,Adidas,340.77,446.55,14.78,S10580
P818165,Electronics,AmazonBasics,280.96,414.49,40.89,S13574
P239138,Sports,Unknown,409.25,745.66,32.17,S19835
P192867,Toys,Adidas,179.38,345.85,32.06,S6021
P644792,Sports,Adidas,339.08,566.23,32.36,S16569
P335098,Clothing,IKEA,461.37,777.25,23.93,S3016
P641571,Home & Garden,Unknown,67.8,104.15,24.02,S11725
P539448,Toys,Sony,174.41,289.37,36.46,S2700
P433356,Toys,Samsung,36.81,47.13,1.06,S15152
P552260,Home & Garden,Samsung,203.74,347.68,8.31,S7915
P956217,Home & Garden,,105.42,177.65,49.59,S5275
P641430,Books,Nike,260.54,342.32,16.04,S6690
P992033,Electronics,Samsung,131.0,245.45,6.51,S1284
P303891,Toys,Nike,361.6,673.24,16.96,S1085
P349829,Toys,Samsung,476.92,880.12,47.14,S1257
P771348,Electronics,AmazonBasics,120.9,169.45,28.66,S17569
P676263,Clothing,AmazonBasics,486.56,651.55,6.96,S10033
P441635,Clothing,Adidas,194.16,273.85,6.27,S6634
P481649,Toys,Sony,143.12,182.62,37.5,S18523
P986421,Clothing,AmazonBasics,303.29,465.26,25.5,S9408
P272989,Books,N/A,200.46,301.57,14.73,S5459
P551388,Clothing,Sony,190.19,248.24,25.36,S11685
P191810,Clothing,Samsung,46.9,72.91,11.95,S4104
P904539,Clothing,IKEA,166.72,212.3,31.79,S655
P295558,Toys,Unknown,203.52,363.63,39.97,S13601
P647445,Home & Garden,Adidas,164.02,235.74,45.03,S15529
P987719,Electronics,Sony,103.24,126.29,48.81,S19252
P610348,Sports,Nike,345.03,592.88,17.38,S15372
P487976,Electronics,Adidas,386.46,653.23,10.54,S4366
P69222,Home & Garden,AmazonBasics,228.82,297.32,39.88,S14847
P8527,Books,Sony,433.59,669.82,15.16,S18112
P199577,Toys,Adidas,160.27,319.85,26.07,S218
P874931,Home & Garden,Sony,77.3,149.68,11.65,S5642
P34379,Books,Sony,402.86,787.34,33.87,S15985
P696905,Books,Nike,93.28,129.12,13.07,S10472
P90320,Books,Nike,404.16,528.08,13.95,S16820
P192560,Electronics,AmazonBasics,81.02,106.42,17.95,S19117
P439522,Sports,Adidas,403.84,563.71,34.55,S4758
P295940,Toys,Unknown,13.08,16.11,38.87,S3473
P216179,Home & Garden,-,129.03,203.41,43.08,S12470
P775280,Books,Sony,202.12,337.37,5.47,S17332
P328794,Books,Sony,150.61,203.14,6.79,S9004
P401746,Electronics,Nike,£40.78,69.27,22.98,S7231
P980939,Toys,Unknown,361.5,553.44,2.67,S9745
P997782,Home & Garden,AmazonBasics,398.08,685.98,38.0,S16020
P166730,Clothing,IKEA,383.09,749.77,0.59,S15669
P257036,Clothing,Nike,350.14,472.31,36.49,S12447
P717221,Sports,Samsung,240.36,462.93,22.23,S12980
P121286,Electronics,Adidas,367.56,578.9,17.04,S17626
P289508,Sports,Nike,404.29,632.1,3.62,S18729
P961148,Home & Garden,Nike,253.57,499.21,7.2,S9686
P993506,Sports,IKEA,59.34,91.28,49.05,S10564
P373625,Toys,Samsung,99.22,182.25,8.43,S10466
P338001,Electronics,Adidas,461.75,877.36,20.24,S14956
P453229,Sports,Nike,367.16,636.12,32.66,S16485
P828485,Clothing,IKEA,71.97,137.49,2.75,S1589
P741881,Toys,Unknown,337.74,629.31,30.72,S3227
P143507,Sports,Nike,130.01,200.44,9.39,S14110
P788530,Electronics,Nike,347.26,467.18,32.11,S6843
P479499,Clothing,IKEA,176.25,260.9,7.11,S6934
P893742,Home & Garden,Sony,305.9,515.16,25.81,S14314
P22066,Clothing,Adidas,296.05,410.77,26.11,S6341
P187738,Toys,Adidas,93.08,168.19,37.88,S10331
P263053,Sports,Samsung,146.31,261.06,17.35,S2026
P727823,Books,IKEA,61.14,90.54,40.14,S16994
P436207,Clothing,Samsung,175.92,286.67,27.01,S15565
P285430,Toys,-📱💻,129.54,257.3,37.35,S18641
P910049,Books,Adidas,498.0,988.04,13.81,S9592
P438249,Electronics,IKEA,398.58,674.77,5.29,S6356
P964020,Electronics,IKEA,394.36,654.91,7.58,S477
P384574,Sports,Samsung,52.64,100.04,15.28,S8028
P12643,Clothing,Nike,38.84,58.47,38.97,S1500
P149176,Home & Garden,AmazonBasics,391.42,744.89,46.95,S9513
P82231,Sports,IKEA,£214.77,258.0,21.31,S13735
P606328,Clothing,Sony,228.87,408.07,45.62,S14447
P838800,Electronics,AmazonBasics,384.06,719.41,43.35,S17500
P46487,Clothing,AmazonBasics,312.42,616.54,5.28,S3931
P400600,Clothing,Unknown,308.68,533.16,6.78,S13582
P654971,Toys,Adidas,201.7,275.26,24.07,S3208
