ProductID,Category,Brand,CostPrice,SellingPrice,Weight,SupplierID
P991759,Toys,IKEA,337.28,511.96,28.38,S1618
P271466,Home & Garden,AmazonBasics,435.84,807.35,6.39,S7648
P869706,Clothing,AmazonBasics,273.39,420.14,28.57,S9012
P433474,Electronics,AmazonBasics,353.25,653.31,20.42,S9208
P827175,Sports,Adidas,67.46,82.86,48.05,S856
P481365,Sports,Nike,482.19,674.84,,S17020
P106129,Clothing,Sony,178.03,257.26,9.37,S7071
P395936,Clothing,-,405.87,689.74,,S7913
P615683,Home & Garden,Samsung,358.0,One Hundred,43.06,S16138
P32884,Electronics,Sony,176.46,332.79,31.56,S18810
P320578,Toys,Adidas📱💻,134.85,269.29,18.68,S2585
P847121,Clothing,Unknown,329.15,637.88,46.19,S9563
P604328,Home & Garden,Samsung,297.43,499.04,33.77,S8745
P583324,Sports,Sony,265.82,406.44,24.72,S18873
P625803,Clothing,Unknown,151.11,249.05,27.83,S18277
P308154,Sports,Nike,345.85,574.05,-,S3192
P930283,Toys,AmazonBasics,68.24,100.45,42.33,S5014
P364705,Sports,Adidas,5.1,6.32,19.84,S11236
P697126,Toys,IKEA,76.95,117.95,15.79,S8346
P940341,Books,Nike,163.65,288.91,0.4,S13814
P409880,Toys,Samsung,378.05,551.6,28.98,S8649
P58958,Home & Garden,Sony,247.87,400.05,14.26,S3022
P994326,Books,Samsung📱💻,376.21,592.63,44.48,S2545
P137913,Electronics,AmazonBasics,433.17,536.24,36.78,S17437
P310776,Home & Garden,Nike,15.93,21.67,3.6,S830
P480673,Home & Garden,Unknown,264.41,330.89,20.5,S2359
P807611,Home & Garden,Adidas,457.45,906.62,42.07,S18284
P438013,Books,Unknown,288.34,388.94,8.24,S13737
P138599,Sports,<b>IKEA</b>,467.16,922.15,8.59,S11847
P32201,Electronics,IKEA,423.95,574.21,10.5,S14035
P753359,Electronics,Unknown,216.13,412.51,7.56,S19155
P909452,Electronics,Adidas,475.33,631.19,38.19,S19854
P646376,Clothing,AmazonBasics,246.79,338.14,5.16,S14074
P832661,Toys,Adidas,225.16,318.82,3.03,S16687
P61981,Toys,Adidas,277.42,411.16,21.99,S5701
P597628,Sports,Nike,223.39,323.84,41.97,S5308
